Designator,Mid X,Mid Y,Rotation,Layer
C1,156.719738,-90.281698,270.0,top
C10,132.0,-74.0,270.0,top
C2,155.219738,-86.781698,90.0,top
C3,127.4,-87.7,0.0,top
C4,155.231738,-90.281698,90.0,top
C5,156.749738,-86.781698,270.0,top
C6,147.719738,-86.781698,90.0,top
C7,149.2,-89.8,270.0,top
C8,149.219738,-86.781698,90.0,top
C9,147.7,-89.8,270.0,top
D1,138.5,-84.0,180.0,top
D2,146.0,-84.0,180.0,top
D3,153.5,-84.0,180.0,top
D4,131.2,-80.3,0.0,top
FID1,158.816039,-74.020892,0.0,top
FID2,158.886269,-91.22746,0.0,top
FID3,125.73,-90.5,0.0,top
J2,161.87,-82.58,90.0,top
K1,141.04,-81.5,180.0,top
K2,148.54,-81.5,180.0,top
K3,156.04,-81.5,180.0,top
Q1,129.3,-90.8,180.0,top
R1,127.4,-86.2,180.0,top
R10,131.2,-83.29,0.0,top
R11,144.710262,-89.8,270.0,top
R12,146.180262,-89.8,270.0,top
R13,131.2,-81.8,180.0,top
R2,127.4,-83.2,180.0,top
R3,127.4,-84.7,0.0,top
R4,127.4,-81.7,180.0,top
R5,127.4,-80.2,180.0,top
R6,129.3,-89.3,0.0,top
R7,131.2,-87.79,0.0,top
R8,131.2,-86.3,0.0,top
R9,131.2,-84.79,0.0,top
SW1,130.5,-77.3,0.0,top
U1,152.219738,-86.776698,180.0,top
U2,152.219738,-90.281698,180.0,top
U3,112.27,-82.5,90.0,top
U4,130.0,-74.0,270.0,top
U5,138.4,-88.4,90.0,top
